,TS代码,股票代码,股票名称,行业
271,000727.SZ,000727,华东科技,元器件
272,000728.SZ,000728,国元证券,证券
273,000729.SZ,000729,燕京啤酒,啤酒
274,000731.SZ,000731,四川美丰,农药化肥
275,000732.SZ,000732,泰禾集团,区域地产
276,000733.SZ,000733,振华科技,元器件
277,000735.SZ,000735,罗牛山,农业综合
278,000736.SZ,000736,中交地产,全国地产
279,000737.SZ,000737,ST南风,日用化工
280,000738.SZ,000738,航发控制,航空
281,000739.SZ,000739,普洛药业,化学制药
282,000750.SZ,000750,国海证券,证券
283,000751.SZ,000751,锌业股份,铅锌
284,000752.SZ,000752,*ST西发,啤酒
285,000753.SZ,000753,漳州发展,汽车服务
286,000755.SZ,000755,山西路桥,公路
287,000756.SZ,000756,新华制药,化学制药
288,000757.SZ,000757,浩物股份,汽车配件
289,000758.SZ,000758,中色股份,铅锌
290,000759.SZ,000759,中百集团,超市连锁
291,000760.SZ,000760,*ST斯太,汽车配件
292,000761.SZ,000761,本钢板材,普钢
293,000762.SZ,000762,西藏矿业,小金属
294,000766.SZ,000766,通化金马,中成药
295,000767.SZ,000767,漳泽电力,火力发电
296,000768.SZ,000768,中航飞机,航空
297,000776.SZ,000776,广发证券,证券
298,000777.SZ,000777,中核科技,机械基件
299,000778.SZ,000778,新兴铸管,钢加工
300,000779.SZ,000779,三毛派神,建筑施工
301,000780.SZ,000780,平庄能源,煤炭开采
302,000782.SZ,000782,美达股份,化纤
303,000783.SZ,000783,长江证券,证券
304,000785.SZ,000785,武汉中商,百货
305,000786.SZ,000786,北新建材,其他建材
306,000788.SZ,000788,北大医药,化学制药
307,000789.SZ,000789,万年青,水泥
308,000790.SZ,000790,泰合健康,中成药
309,000791.SZ,000791,甘肃电投,水力发电
310,000792.SZ,000792,*ST盐湖,化工原料
311,000793.SZ,000793,华闻传媒,出版业
312,000795.SZ,000795,英洛华,矿物制品
313,000796.SZ,000796,凯撒旅游,旅游服务
314,000797.SZ,000797,中国武夷,全国地产
315,000798.SZ,000798,中水渔业,渔业
316,000799.SZ,000799,酒鬼酒,白酒
317,000800.SZ,000800,一汽轿车,汽车整车
318,000801.SZ,000801,四川九洲,通信设备
319,000802.SZ,000802,北京文化,影视音像
320,000803.SZ,000803,金宇车城,电气设备
321,000806.SZ,000806,ST银河,生物制药
322,000807.SZ,000807,云铝股份,铝
323,000809.SZ,000809,铁岭新城,区域地产
324,000810.SZ,000810,创维数字,家用电器
325,000811.SZ,000811,冰轮环境,工程机械
326,000812.SZ,000812,陕西金叶,广告包装
327,000813.SZ,000813,德展健康,化学制药
328,000815.SZ,000815,美利云,造纸
329,000816.SZ,000816,*ST慧业,农用机械
330,000818.SZ,000818,航锦科技,化工原料
331,000819.SZ,000819,岳阳兴长,石油加工
332,000820.SZ,000820,*ST节能,环境保护
333,000821.SZ,000821,京山轻机,轻工机械
334,000822.SZ,000822,山东海化,化工原料
335,000823.SZ,000823,超声电子,元器件
336,000825.SZ,000825,太钢不锈,特种钢
337,000826.SZ,000826,启迪桑德,环境保护
338,000828.SZ,000828,东莞控股,路桥
339,000829.SZ,000829,天音控股,其他商业
340,000830.SZ,000830,鲁西化工,农药化肥
341,000831.SZ,000831,五矿稀土,小金属
342,000833.SZ,000833,粤桂股份,造纸
343,000835.SZ,000835,长城动漫,影视音像
344,000836.SZ,000836,富通鑫茂,通信设备
345,000837.SZ,000837,秦川机床,机床制造
346,000838.SZ,000838,财信发展,区域地产
347,000839.SZ,000839,中信国安,综合类
348,000848.SZ,000848,承德露露,软饮料
349,000850.SZ,000850,华茂股份,纺织
350,000851.SZ,000851,高鸿股份,软件服务
351,000852.SZ,000852,石化机械,化工机械
352,000856.SZ,000856,冀东装备,机械基件
353,000858.SZ,000858,五粮液,白酒
354,000859.SZ,000859,国风塑业,塑料
355,000860.SZ,000860,顺鑫农业,白酒
356,000861.SZ,000861,海印股份,房产服务
357,000862.SZ,000862,银星能源,新型电力
358,000863.SZ,000863,三湘印象,区域地产
359,000868.SZ,000868,*ST安凯,汽车整车
360,000869.SZ,000869,张裕A,红黄药酒
361,000875.SZ,000875,吉电股份,火力发电
362,000876.SZ,000876,新希望,饲料
363,000877.SZ,000877,天山股份,水泥
364,000878.SZ,000878,云南铜业,铜
365,000880.SZ,000880,潍柴重机,机械基件
366,000881.SZ,000881,中广核技,综合类
367,000882.SZ,000882,华联股份,百货
368,000883.SZ,000883,湖北能源,火力发电
369,000885.SZ,000885,城发环境,公路
370,000886.SZ,000886,海南高速,路桥
371,000887.SZ,000887,中鼎股份,橡胶
372,000888.SZ,000888,峨眉山A,旅游景点
373,000889.SZ,000889,中嘉博创,通信设备
374,000890.SZ,000890,法尔胜,多元金融
375,000892.SZ,000892,欢瑞世纪,影视音像
376,000893.SZ,000893,*ST东凌,食品
377,000895.SZ,000895,双汇发展,食品
378,000897.SZ,000897,*ST津滨,区域地产
379,000898.SZ,000898,鞍钢股份,普钢
380,000899.SZ,000899,赣能股份,火力发电
381,000900.SZ,000900,现代投资,路桥
382,000901.SZ,000901,航天科技,航空
383,000902.SZ,000902,新洋丰,农药化肥
384,000903.SZ,000903,云内动力,机械基件
385,000905.SZ,000905,厦门港务,港口
386,000906.SZ,000906,浙商中拓,批发业
387,000908.SZ,000908,景峰医药,化学制药
388,000909.SZ,000909,数源科技,综合类
389,000910.SZ,000910,大亚圣象,家居用品
390,000911.SZ,000911,*ST南糖,食品
391,000912.SZ,000912,泸天化,农药化肥
392,000913.SZ,000913,钱江摩托,摩托车
393,000915.SZ,000915,山大华特,化学制药
394,000917.SZ,000917,电广传媒,影视音像
395,000918.SZ,000918,嘉凯城,全国地产
396,000919.SZ,000919,金陵药业,化学制药
397,000920.SZ,000920,南方汇通,环境保护
398,000921.SZ,000921,海信家电,家用电器
399,000922.SZ,000922,佳电股份,电气设备
400,000923.SZ,000923,河北宣工,普钢
401,000925.SZ,000925,众合科技,专用机械
402,000926.SZ,000926,福星股份,区域地产
403,000927.SZ,000927,一汽夏利,汽车整车
404,000928.SZ,000928,中钢国际,建筑施工
405,000929.SZ,000929,兰州黄河,啤酒
406,000930.SZ,000930,中粮生化,农业综合
407,000931.SZ,000931,中关村,生物制药
408,000932.SZ,000932,华菱钢铁,普钢
409,000933.SZ,000933,神火股份,煤炭开采
410,000935.SZ,000935,四川双马,水泥
411,000936.SZ,000936,华西股份,化纤
412,000937.SZ,000937,冀中能源,煤炭开采
413,000938.SZ,000938,紫光股份,软件服务
414,000948.SZ,000948,南天信息,软件服务
415,000949.SZ,000949,新乡化纤,化纤
416,000950.SZ,000950,重药控股,医药商业
417,000951.SZ,000951,中国重汽,汽车整车
418,000952.SZ,000952,广济药业,化学制药
419,000953.SZ,000953,*ST河化,农药化肥
420,000955.SZ,000955,欣龙控股,纺织
421,000957.SZ,000957,中通客车,汽车整车
422,000958.SZ,000958,东方能源,火力发电
423,000959.SZ,000959,首钢股份,普钢
424,000960.SZ,000960,锡业股份,小金属
425,000961.SZ,000961,中南建设,建筑施工
426,000962.SZ,000962,东方钽业,小金属
427,000963.SZ,000963,华东医药,化学制药
428,000965.SZ,000965,天保基建,区域地产
429,000966.SZ,000966,长源电力,火力发电
430,000967.SZ,000967,盈峰环境,环境保护
431,000968.SZ,000968,蓝焰控股,煤炭开采
432,000969.SZ,000969,安泰科技,钢加工
433,000970.SZ,000970,中科三环,元器件
434,000971.SZ,000971,*ST高升,互联网
435,000972.SZ,000972,ST中基,食品
436,000973.SZ,000973,佛塑科技,塑料
437,000975.SZ,000975,银泰资源,铅锌
438,000976.SZ,000976,华铁股份,运输设备
439,000977.SZ,000977,浪潮信息,电脑设备
440,000978.SZ,000978,桂林旅游,旅游景点
441,000980.SZ,000980,众泰汽车,汽车配件
442,000981.SZ,000981,ST银亿,汽车配件
443,000982.SZ,000982,*ST中绒,纺织
444,000983.SZ,000983,西山煤电,煤炭开采
445,000985.SZ,000985,大庆华科,化工原料
446,000987.SZ,000987,越秀金控,多元金融
447,000988.SZ,000988,华工科技,电器仪表
448,000989.SZ,000989,九芝堂,中成药
449,000990.SZ,000990,诚志股份,化工原料
450,000993.SZ,000993,闽东电力,水力发电
451,000996.SZ,000996,中国中期,汽车服务
452,000997.SZ,000997,新大陆,软件服务
453,000998.SZ,000998,隆平高科,种植业
454,000999.SZ,000999,华润三九,中成药
455,001696.SZ,001696,宗申动力,摩托车
456,001872.SZ,001872,招商港口,港口
457,001896.SZ,001896,豫能控股,火力发电
458,001965.SZ,001965,招商公路,路桥
459,001979.SZ,001979,招商蛇口,全国地产
460,002001.SZ,002001,新和成,化学制药
461,002002.SZ,002002,鸿达兴业,化工原料
462,002003.SZ,002003,伟星股份,服饰
463,002004.SZ,002004,华邦健康,化学制药
464,002005.SZ,002005,*ST德豪,家用电器
465,002006.SZ,002006,精功科技,专用机械
466,002007.SZ,002007,华兰生物,生物制药
467,002008.SZ,002008,大族激光,电器仪表
468,002009.SZ,002009,天奇股份,工程机械
469,002010.SZ,002010,传化智联,仓储物流
470,002011.SZ,002011,盾安环境,工程机械
471,002012.SZ,002012,凯恩股份,造纸
472,002013.SZ,002013,中航机电,航空
473,002014.SZ,002014,永新股份,塑料
474,002015.SZ,002015,霞客环保,化纤
475,002016.SZ,002016,世荣兆业,区域地产
476,002017.SZ,002017,东信和平,通信设备
477,002018.SZ,002018,*ST华信,农药化肥
478,002019.SZ,002019,亿帆医药,化学制药
479,002020.SZ,002020,京新药业,化学制药
480,002021.SZ,002021,*ST中捷,纺织机械
481,002022.SZ,002022,科华生物,医疗保健
482,002023.SZ,002023,海特高新,航空
483,002024.SZ,002024,苏宁易购,电器连锁
484,002025.SZ,002025,航天电器,元器件
485,002026.SZ,002026,山东威达,机械基件
486,002027.SZ,002027,分众传媒,影视音像
487,002028.SZ,002028,思源电气,电气设备
488,002029.SZ,002029,七匹狼,服饰
489,002030.SZ,002030,达安基因,生物制药
490,002031.SZ,002031,巨轮智能,汽车配件
491,002032.SZ,002032,苏泊尔,家用电器
492,002033.SZ,002033,丽江旅游,旅游景点
493,002034.SZ,002034,旺能环境,环境保护
494,002035.SZ,002035,华帝股份,家用电器
495,002036.SZ,002036,联创电子,元器件
496,002037.SZ,002037,久联发展,化工原料
497,002038.SZ,002038,双鹭药业,生物制药
498,002039.SZ,002039,黔源电力,水力发电
499,002040.SZ,002040,南京港,港口
